base-shuffle,base-fromTop,meno_tempo-shuffle,meno_tempo-fromTop,senza_distanza-shuffle,senza_distanza-fromTop,senza_evja-shuffle,senza_evja-fromTop,sensore
2.6012568,4.738417,1.9500228,3.650948,2.3724163,4.2913375,2.6179938,4.893635,1
1.3876038,2.6402125,1.5615696,3.0301301,1.4341208,2.47839,1.3722919,2.2478883,2
